 1332695372000	0.154
 1332608889000	0.154
 1332522457000	0.154
 1332436003000	0.154
 1332349554000	0.154
 1332347717000	0.154
 1332273704000	0.154
 1332187249000	0.154
 1332186899000	0.154
 1332161757000	0.154
 1332161403000	0.154
 1332146821000	0.154
 1332146297000	0.154
 1332115329000	0.154
 1332028896000	0.154
 1331942468000	0.154
 1331942116000	0.154
 1331917016000	0.154
 1331916666000	0.154
 1331887037000	0.154
 1331886686000	0.154
 1331881695000	0.154
 1331881345000	0.154
 1331842578000	0.154
 1331842226000	0.154
 1331837878000	0.154
 1331837525000	0.154
 1331806248000	0.154
 1331805897000	0.154
 1331801123000	0.154
 1331800769000	0.154
 1331800416000	0.154
 1331766654000	0.154
 1331680211000	0.154
 1331593732000	0.154
 1331507327000	0.154
 1331420855000	0.154
 1331334367000	0.154
 1331247957000	0.154
 1331161528000	0.154
 1331075080000	0.154
 1330988635000	0.154
 1330902218000	0.154
 1330815792000	0.154
 1330729330000	0.154
 1330642927000	0.154
 1330556453000	0.154
 1330470022000	0.154
 1330383559000	0.154
 1330297079000	0.154
 1330210628000	0.154
 1330124190000	0.154
